frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
730,30.388333333333335,750.5,556.0,746.2876129150391,554.9500322341919,766.2433624267578,556.9902276992798,0.9955345392227173,726.3318634033203,552.909836769104,0.9956298470497131,755.5201721191406,468.5748767852783,165,306,True
740,30.805000000000003,749.5,557.5,746.0111618041992,554.5090770721436,765.6942749023438,556.6029167175293,0.9959738254547119,726.3280487060547,552.4152374267578,0.9960463643074036,754.6929931640625,469.83607292175293,163,305,True
750,31.221666666666668,750.5,558.5,746.1398315429688,555.0030970573425,765.7148742675781,556.930103302002,0.9963657855987549,726.5647888183594,553.0760908126831,0.9964169263839722,754.3017196655273,470.9606695175171,165,303,True
760,31.638333333333335,755.0,555.5,746.1544418334961,554.225857257843,765.6175231933594,556.4896202087402,0.9967185854911804,726.6913604736328,551.9620943069458,0.9967468976974487,754.227180480957,470.8247780799866,162,303,True
770,32.055,755.5,554.0,746.2396240234375,553.4555697441101,765.6343078613281,555.7818174362183,0.9970327019691467,726.8449401855469,551.129322052002,0.9970333576202393,755.6037139892578,467.7009701728821,163,300,True
780,32.47166666666667,757.0,555.0,745.8992385864258,554.4717621803284,765.5097961425781,556.6262197494507,0.9972977638244629,726.2886810302734,552.317304611206,0.9972684979438782,758.7736511230469,467.6187229156494,166,302,True
790,32.888333333333335,754.0,562.5,745.2319717407227,563.560266494751,765.4850769042969,566.1717939376831,0.9975296854972839,724.9788665771484,560.9487390518188,0.9974903464317322,755.94970703125,470.07455348968506,168,315,True
800,33.305,750.5,565.5,745.0640487670898,569.0374660491943,765.6037902832031,571.402702331543,0.9977381825447083,724.5243072509766,566.6722297668457,0.9976930022239685,749.7912216186523,474.752562046051,173,309,True
810,33.72166666666667,746.0,567.5,742.2549057006836,570.7389307022095,763.3766937255859,573.0433988571167,0.9979088306427002,721.1331176757812,568.4344625473022,0.9978638887405396,746.736946105957,479.70696687698364,178,305,True
820,34.14,740.5,568.5,738.9214706420898,573.2481908798218,760.5752563476562,575.8625936508179,0.9980698227882385,717.2676849365234,570.6337881088257,0.9980347156524658,741.6736602783203,483.23872804641724,179,303,True
830,34.55666666666667,738.0,568.5,736.1985397338867,576.9127535820007,757.7478790283203,578.8836622238159,0.998212993144989,714.6492004394531,574.9418449401855,0.9981805086135864,736.907958984375,486.99886322021484,178,303,True
840,34.973333333333336,745.0,571.5,735.5573654174805,576.1691808700562,756.7837524414062,578.1174945831299,0.9983320236206055,714.3309783935547,574.2208671569824,0.9982829093933105,736.7576217651367,486.3239336013794,180,297,True
