frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
151,1748166613.839962,37.338972091674805,30.658749865685813,4,4,0,34.68823432922363,30.302387819814285,2,4,0
152,1748166613.912364,33.33783149719238,30.659877895688926,4,3,0,33.61797332763672,30.297492006009936,2,3,0
153,1748166613.9796731,32.225847244262695,30.679732850633542,3,3,0,32.56392478942871,30.29304993176011,2,3,0
154,1748166614.044814,33.01572799682617,30.64297361904743,3,3,0,33.67900848388672,30.284497684903275,2,3,0
155,1748166614.11184,32.032012939453125,30.63549808170724,3,2,0,32.148122787475586,30.320087228390193,2,2,0
156,1748166614.176367,31.957149505615234,30.637571767364175,3,3,1,33.51902961730957,30.29509939693479,2,3,0
157,1748166614.2421708,32.35292434692383,30.625782352679174,3,3,0,33.58793258666992,30.286779269862794,2,3,0
158,1748166614.308458,32.53889083862305,30.657360485862746,3,3,0,32.12094306945801,30.300424926518005,2,3,0
159,1748166614.373461,34.22808647155762,30.606920282073094,3,3,0,32.58967399597168,30.28540881977541,2,3,0
160,1748166614.4406028,32.89008140563965,30.58963557650793,3,3,0,32.52816200256348,30.27538935053386,2,3,0
161,1748166614.50637,31.589031219482422,30.63851919200232,3,3,0,32.58395195007324,30.343623502039886,2,3,0
162,1748166614.570954,31.549930572509766,30.66779885409893,5,5,0,31.950712203979492,30.38194889625324,2,5,0
163,1748166614.634849,32.10282325744629,30.653969732677876,5,3,0,32.92202949523926,30.408336819332906,2,3,0
164,1748166614.700373,33.418893814086914,30.637288297365167,3,3,0,33.367156982421875,30.37218802454123,2,3,0
165,1748166614.767544,32.026052474975586,30.646138018915348,4,4,0,33.05864334106445,30.36328331146702,2,4,0
166,1748166614.832984,32.0589542388916,30.66296359384241,4,3,0,32.5930118560791,30.3650711640331,2,3,0
167,1748166614.89799,33.5390567779541,30.60265495636118,3,3,0,32.35578536987305,30.365247029757086,2,3,0
168,1748166614.9642339,33.11896324157715,30.60034041688057,3,3,0,32.81998634338379,30.36060192733142,2,3,0
169,1748166615.0305011,32.00721740722656,30.622234628360577,3,3,0,32.74106979370117,30.36164951558075,2,3,0
170,1748166615.095575,33.16998481750488,30.595816540530684,3,3,0,33.69879722595215,30.351733290751035,2,3,0
171,1748166615.1627882,33.435821533203125,30.5883714270573,4,3,0,32.84621238708496,30.39037278039197,2,3,0
172,1748166615.229425,31.337976455688477,30.631306811819297,4,3,1,33.73980522155762,30.35660270979749,2,3,0
173,1748166615.294888,32.25207328796387,30.615975943066488,3,2,0,33.084869384765625,30.360506695620703,2,2,0
