frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,YOLO_Advanced_processing_time_ms,YOLO_Advanced_fps,YOLO_Advanced_track_count,YOLO_Advanced_detection_count,YOLO_Advanced_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
89,1748167634.9192672,33.15472602844238,30.918927366427603,6,6,0,37.11986541748047,25.718961709485914,6,6,0,33.0350399017334,30.129827588560115,4,6,0
90,1748167635.023202,32.182931900024414,30.90574382218524,6,6,0,37.37378120422363,25.78851344565888,6,6,0,33.8129997253418,30.131551976153208,4,6,0
91,1748167635.127181,33.24389457702637,30.92572097642693,6,6,0,37.129878997802734,25.896728073809587,6,6,0,33.31899642944336,30.145123082466405,4,6,0
92,1748167635.231474,32.807350158691406,30.90264701700063,6,6,0,37.94693946838379,25.968146233281974,6,6,0,32.55510330200195,30.159906386907593,4,6,0
93,1748167635.335377,35.85100173950195,30.79162661581922,6,6,0,38.2227897644043,25.97381751526486,6,6,0,32.96303749084473,30.159414822246838,4,6,0
94,1748167635.443167,34.15703773498535,30.724740731480054,6,6,0,37.46986389160156,26.004306870740148,6,6,0,32.53293037414551,30.156321224226268,4,6,0
95,1748167635.5479062,32.303810119628906,30.72162008543419,6,6,0,36.7891788482666,26.034867890174006,6,6,0,34.718990325927734,30.195232513075375,4,6,0
96,1748167635.6523142,31.385183334350586,30.761583713139565,6,6,0,38.02323341369629,26.035950678878244,6,6,0,33.20789337158203,30.18705404631225,4,6,0
97,1748167635.7555158,31.94904327392578,30.77199535641155,6,6,0,38.71512413024902,26.044427554671326,6,6,0,32.019853591918945,30.21894539153657,4,6,0
98,1748167635.858818,32.19008445739746,30.778506213226606,6,6,0,37.32705116271973,26.09485295490036,6,6,0,32.85980224609375,30.225151691303996,4,6,0
99,1748167635.9617732,32.20176696777344,30.800912553485233,6,6,0,37.06717491149902,26.1863151769727,6,6,0,32.958030700683594,30.215164790622307,4,6,0
100,1748167636.0645828,32.566070556640625,30.783618978186123,6,6,0,37.15085983276367,26.283317047575164,6,6,0,34.64698791503906,30.193964524303155,4,6,0
101,1748167636.169536,32.29379653930664,30.773357515888144,6,6,0,37.26005554199219,26.37903264184411,6,6,0,32.30094909667969,30.186822303138946,4,6,0
102,1748167636.271965,32.330989837646484,30.756312873304516,6,6,0,37.494659423828125,26.44948078105865,6,6,0,33.64992141723633,30.192377876940064,4,6,0
103,1748167636.3760571,32.27686882019043,30.75016459016682,7,7,0,38.59424591064453,26.48436952426095,7,7,0,33.47015380859375,30.270283794014368,4,7,0
