Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Notes
234,53.289,240.1,10.8,250.9,1,1,4.4,0.0,0.0,0.0,Yes,
235,53.559,194.7,52.2,246.9,1,1,4.4,0.0,0.0,0.0,Yes,
236,53.828,177.8,67.4,245.2,1,1,4.4,0.0,0.0,0.0,Yes,
237,54.067,171.8,44.6,216.4,1,1,4.4,0.0,0.0,0.0,Yes,
238,54.305,184.0,29.4,213.4,1,1,4.4,0.0,0.0,0.0,Yes,
239,54.540,161.5,49.9,211.4,1,1,4.4,0.0,0.0,0.0,Yes,
240,54.728,136.0,28.1,164.2,1,1,4.4,0.0,0.0,0.0,Yes,
241,54.883,87.1,44.2,131.4,1,1,4.4,0.0,0.0,0.0,Yes,
242,55.105,159.1,37.0,196.1,1,1,4.4,0.0,0.0,0.0,Yes,
243,55.334,142.8,62.1,204.9,1,1,4.4,0.0,0.0,0.0,Yes,
244,55.606,191.3,57.1,248.3,1,1,4.4,0.0,0.0,0.0,Yes,
245,55.849,161.4,58.3,219.7,1,1,4.4,0.0,0.0,0.0,Yes,
246,56.107,200.1,34.2,234.3,1,1,4.4,0.0,0.0,0.0,Yes,
247,56.320,159.0,30.1,189.0,1,1,4.4,0.0,0.0,0.0,Yes,
248,56.587,195.0,47.5,242.5,1,1,4.4,0.0,0.0,0.0,Yes,
249,56.856,196.1,49.5,245.6,1,1,4.4,0.0,0.0,0.0,Yes,
250,57.129,208.2,42.2,250.4,1,1,4.4,0.0,0.0,0.0,Yes,
251,57.408,246.0,8.7,254.8,1,1,4.4,0.0,0.0,0.0,Yes,
252,57.649,179.8,36.9,216.7,1,1,4.4,0.0,0.0,0.0,Yes,
253,57.932,249.1,10.5,259.6,1,1,4.4,0.0,0.0,0.0,Yes,
254,58.179,152.2,69.8,222.0,1,1,4.4,0.0,0.0,0.0,Yes,
255,58.382,139.9,38.2,178.1,1,1,4.4,0.0,0.0,0.0,Yes,
256,58.593,146.7,40.7,187.4,1,1,4.4,0.0,0.0,0.0,Yes,
257,58.775,136.8,20.8,157.6,1,1,4.4,0.0,0.0,0.0,Yes,
258,58.966,106.5,61.0,167.6,1,1,4.4,0.0,0.0,0.0,Yes,
259,59.166,132.0,44.8,176.7,1,1,4.4,0.0,0.0,0.0,Yes,
260,59.340,107.9,42.2,150.1,1,1,4.4,0.0,0.0,0.0,Yes,
261,59.553,142.0,46.8,188.8,1,1,4.4,0.0,0.0,0.0,Yes,
262,59.766,129.4,60.3,189.7,1,1,4.4,0.0,0.0,0.0,Yes,
263,60.023,184.0,48.2,232.2,1,1,4.4,0.0,0.0,0.0,Yes,
264,60.295,205.9,41.6,247.4,1,1,4.4,0.0,0.0,0.0,Yes,
265,60.552,170.3,62.2,232.5,1,1,4.4,0.0,0.0,0.0,Yes,
266,60.809,176.6,53.5,230.1,1,1,4.4,0.0,0.0,0.0,Yes,
267,61.080,224.1,22.6,246.7,1,1,4.4,0.0,0.0,0.0,Yes,
268,61.301,145.3,52.4,197.6,1,1,4.4,0.0,0.0,0.0,Yes,
269,61.557,184.6,47.4,232.0,1,1,4.4,0.0,0.0,0.0,Yes,
270,61.826,183.1,61.9,244.9,1,1,4.4,0.0,0.0,0.0,Yes,
271,62.074,154.8,69.6,224.4,1,1,4.4,0.0,0.0,0.0,Yes,
272,62.344,224.1,21.9,246.0,1,1,4.4,0.0,0.0,0.0,Yes,
273,62.570,155.7,46.1,201.8,1,1,4.4,0.0,0.0,0.0,Yes,
274,62.844,226.4,22.4,248.8,1,1,4.4,0.0,0.0,0.0,Yes,
275,63.105,190.7,46.6,237.3,1,1,4.4,0.0,0.0,0.0,Yes,
276,63.374,204.0,42.0,246.0,1,1,4.4,0.0,0.0,0.0,Yes,
277,63.641,210.3,32.7,243.0,1,1,4.4,0.0,0.0,0.0,Yes,
278,63.890,200.2,22.6,222.7,1,1,4.4,0.0,0.0,0.0,Yes,
279,64.066,100.2,52.2,152.4,1,1,4.4,0.0,0.0,0.0,Yes,
280,64.297,140.7,65.5,206.2,1,1,4.4,0.0,0.0,0.0,Yes,
281,64.517,145.3,51.0,196.4,1,1,4.4,0.0,0.0,0.0,Yes,
282,64.797,215.3,38.8,254.2,1,1,4.4,0.0,0.0,0.0,Yes,
283,65.033,135.7,77.2,212.9,1,1,4.4,0.0,0.0,0.0,Yes,
284,65.266,150.4,58.8,209.2,1,1,4.4,0.0,0.0,0.0,Yes,
285,65.490,176.0,23.5,199.5,1,1,4.4,0.0,0.0,0.0,Yes,
286,65.714,154.0,45.2,199.2,1,1,4.4,0.0,0.0,0.0,Yes,
287,65.876,109.1,28.7,137.8,1,1,4.4,0.0,0.0,0.0,Yes,
288,66.092,146.1,44.8,190.8,1,1,4.4,0.0,0.0,0.0,Yes,
289,66.307,153.1,37.7,190.8,1,1,4.4,0.0,0.0,0.0,Yes,
290,66.579,223.9,22.8,246.7,1,1,4.4,0.0,0.0,0.0,Yes,
291,66.817,150.2,63.8,214.0,1,1,4.4,0.0,0.0,0.0,Yes,
292,67.051,147.9,61.0,208.9,1,1,4.4,0.0,0.0,0.0,Yes,
293,67.313,163.9,72.9,236.8,1,1,4.4,0.0,0.0,0.0,Yes,
294,67.584,201.0,46.7,247.7,1,1,4.4,0.0,0.0,0.0,Yes,
295,67.823,167.2,48.9,216.1,1,1,4.3,0.0,0.0,0.0,Yes,
296,68.078,169.2,61.5,230.7,1,1,4.3,0.0,0.0,0.0,Yes,
297,68.331,169.6,59.7,229.3,1,1,4.3,0.0,0.0,0.0,Yes,
298,68.601,187.1,59.9,247.0,1,1,4.3,0.0,0.0,0.0,Yes,
299,68.873,179.8,68.6,248.4,1,1,4.3,0.0,0.0,0.0,Yes,
300,69.142,208.0,37.0,245.0,1,1,4.3,0.0,0.0,0.0,Yes,
301,69.393,164.3,62.8,227.1,1,1,4.3,0.0,0.0,0.0,Yes,
302,69.663,203.6,41.6,245.2,1,1,4.3,0.0,0.0,0.0,Yes,
303,69.934,201.0,45.0,246.0,1,1,4.3,0.0,0.0,0.0,Yes,
304,70.203,198.5,47.1,245.6,1,1,4.3,0.0,0.0,0.0,Yes,
305,70.480,212.6,40.0,252.6,1,1,4.3,0.0,0.0,0.0,Yes,
306,70.724,166.5,52.6,219.0,1,1,4.3,0.0,0.0,0.0,Yes,
307,71.020,232.1,39.3,271.5,1,1,4.3,0.0,0.0,0.0,Yes,
308,71.291,192.4,49.1,241.5,1,1,4.3,0.0,0.0,0.0,Yes,
309,71.472,114.7,42.8,157.5,1,1,4.3,0.0,0.0,0.0,Yes,
310,71.665,118.9,49.8,168.7,1,1,4.3,0.0,0.0,0.0,Yes,
311,71.849,121.0,39.8,160.8,1,1,4.3,0.0,0.0,0.0,Yes,
312,72.094,158.6,60.4,219.0,1,1,4.3,0.0,0.0,0.0,Yes,
313,72.292,115.2,59.3,174.5,1,1,4.3,0.0,0.0,0.0,Yes,
314,72.534,145.6,70.1,215.7,1,1,4.3,0.0,0.0,0.0,Yes,
