# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n.pt,Size,5.35 MB
# Model Task,detect,Version,unknown
# Tracker,bytetrack
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4
# Resolution,640x480,FPS,30,Total Frames,900

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
66,3.673,37.2,0.6,37.8,5,5,18.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
67,3.722,34.6,0.5,35.1,5,5,18.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
68,3.772,36.5,0.6,37.1,6,6,18.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
69,3.821,34.6,0.6,35.2,7,6,18.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
70,3.874,37.7,0.6,38.3,6,6,18.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
71,3.928,39.9,0.8,40.7,9,6,18.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
72,3.978,35.1,0.7,35.8,7,7,18.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
73,4.027,34.9,0.6,35.5,6,6,18.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
74,4.081,37.6,0.7,38.3,7,6,18.1,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
75,4.131,35.4,0.7,36.1,7,7,18.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
76,4.182,36.0,0.7,36.7,7,6,18.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
77,4.232,36.1,0.6,36.7,6,6,18.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
78,4.283,35.9,0.6,36.5,6,6,18.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
79,4.333,35.9,0.7,36.6,7,6,18.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
80,4.384,36.1,0.6,36.7,6,6,18.2,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
81,4.436,37.4,0.6,38.1,5,5,18.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
82,4.487,36.7,0.7,37.4,6,6,18.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
83,4.538,35.7,0.7,36.3,7,7,18.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
84,4.588,36.1,0.7,36.7,7,7,18.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
85,4.638,35.0,0.6,35.7,7,7,18.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
86,4.688,34.3,0.6,35.0,6,6,18.3,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
87,4.737,34.2,0.6,34.8,7,6,18.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
88,4.787,35.3,0.7,36.1,7,7,18.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
89,4.836,34.7,0.7,35.4,7,7,18.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
90,4.885,34.6,0.6,35.3,6,6,18.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
91,4.935,35.1,0.7,35.7,6,6,18.4,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
92,4.984,34.2,0.7,34.9,6,6,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
93,5.034,34.8,0.6,35.4,6,6,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
94,5.085,37.2,0.6,37.7,5,5,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
95,5.133,33.8,0.6,34.4,5,5,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
96,5.183,35.5,0.6,36.1,6,6,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
97,5.233,34.8,0.6,35.5,6,6,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
98,5.285,36.7,0.6,37.3,6,6,18.5,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
99,5.335,34.6,0.6,35.2,6,6,18.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
100,5.382,33.4,0.6,33.9,5,5,18.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
101,5.431,34.2,0.6,34.8,6,6,18.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
102,5.480,33.9,0.6,34.5,6,6,18.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
103,5.529,34.3,0.6,34.9,5,5,18.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
104,5.578,34.9,0.6,35.5,5,5,18.6,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
105,5.627,34.4,0.6,35.0,6,6,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
106,5.678,36.5,0.6,37.1,6,6,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
107,5.727,34.9,0.6,35.6,7,6,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
108,5.776,35.1,0.7,35.7,6,6,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
109,5.828,34.9,0.6,35.5,6,6,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
110,5.879,35.9,0.6,36.6,7,7,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
