# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

185,9.961,50.5,1.2,0.0,52.5,16,12,18.6,yolov8n,bytetrack,
186,10.013,50.2,1.0,0.0,52.0,13,11,18.6,yolov8n,bytetrack,
187,10.064,48.8,1.0,0.0,50.6,14,12,18.6,yolov8n,bytetrack,
188,10.116,49.3,1.0,0.0,51.3,15,11,18.6,yolov8n,bytetrack,
189,10.168,50.3,0.9,0.0,52.1,14,11,18.6,yolov8n,bytetrack,
190,10.219,49.3,1.0,0.0,51.2,14,12,18.6,yolov8n,bytetrack,
191,10.273,51.1,1.0,0.0,52.9,13,11,18.6,yolov8n,bytetrack,
192,10.325,50.0,1.0,0.0,51.7,14,11,18.6,yolov8n,bytetrack,
193,10.378,51.2,1.1,0.0,53.2,11,10,18.6,yolov8n,bytetrack,
194,10.431,50.5,1.0,0.0,52.2,13,10,18.6,yolov8n,bytetrack,
195,10.497,64.0,1.1,0.0,65.8,13,11,18.6,yolov8n,bytetrack,
196,10.552,52.6,1.1,0.0,54.7,13,10,18.6,yolov8n,bytetrack,
197,10.608,54.6,0.9,0.0,56.2,12,10,18.6,yolov8n,bytetrack,
198,10.661,50.8,1.0,0.0,52.6,14,10,18.6,yolov8n,bytetrack,
199,10.713,49.9,1.0,0.0,51.7,14,11,18.6,yolov8n,bytetrack,
200,10.765,50.4,1.0,0.0,52.1,11,11,18.6,yolov8n,bytetrack,
201,10.818,50.2,1.0,0.0,52.0,12,11,18.6,yolov8n,bytetrack,
202,10.870,49.9,1.0,0.0,51.6,13,11,18.6,yolov8n,bytetrack,
203,10.922,50.5,1.1,0.0,52.5,16,11,18.6,yolov8n,bytetrack,
204,10.975,50.4,1.1,0.0,52.4,16,12,18.6,yolov8n,bytetrack,
205,11.027,49.5,1.0,0.0,51.3,15,12,18.6,yolov8n,bytetrack,
206,11.079,50.0,1.1,0.0,51.9,13,12,18.6,yolov8n,bytetrack,
207,11.130,49.5,1.0,0.0,51.3,12,12,18.6,yolov8n,bytetrack,
208,11.181,49.2,1.0,0.0,51.0,13,12,18.6,yolov8n,bytetrack,
209,11.234,50.8,1.0,0.0,52.5,12,12,18.6,yolov8n,bytetrack,
210,11.288,51.5,1.0,0.0,53.2,11,11,18.6,yolov8n,bytetrack,
211,11.340,50.6,1.0,0.0,52.4,12,11,18.6,yolov8n,bytetrack,
212,11.393,50.3,1.0,0.0,52.1,13,11,18.6,yolov8n,bytetrack,
213,11.445,49.7,1.1,0.1,51.5,12,11,18.6,yolov8n,bytetrack,
214,11.498,51.1,1.0,0.0,52.8,10,10,18.6,yolov8n,bytetrack,
215,11.549,49.7,0.9,0.0,51.5,11,10,18.6,yolov8n,bytetrack,
216,11.601,49.3,0.9,0.0,51.1,10,10,18.6,yolov8n,bytetrack,
217,11.652,49.1,1.0,0.0,50.8,10,10,18.6,yolov8n,bytetrack,
218,11.703,49.5,1.0,0.0,51.2,10,10,18.6,yolov8n,bytetrack,
219,11.755,49.6,0.9,0.0,51.3,10,10,18.6,yolov8n,bytetrack,
220,11.806,49.4,1.0,0.0,51.1,12,10,18.6,yolov8n,bytetrack,
221,11.859,50.6,1.0,0.0,52.5,12,10,18.6,yolov8n,bytetrack,
222,11.912,50.7,1.2,0.0,52.7,14,11,18.6,yolov8n,bytetrack,
223,11.963,49.1,1.0,0.0,50.9,14,11,18.6,yolov8n,bytetrack,
224,12.018,52.5,1.0,0.0,54.2,13,11,18.6,yolov8n,bytetrack,
225,12.070,50.2,1.1,0.0,52.0,14,11,18.6,yolov8n,bytetrack,
226,12.121,49.6,0.9,0.0,51.3,13,11,18.6,yolov8n,bytetrack,
227,12.174,50.3,0.9,0.0,52.0,12,11,18.6,yolov8n,bytetrack,
228,12.227,51.5,1.0,0.0,53.2,13,11,18.6,yolov8n,bytetrack,
229,12.279,49.0,1.1,0.0,51.2,12,11,18.7,yolov8n,bytetrack,
230,12.329,48.4,1.0,0.0,50.1,11,11,18.7,yolov8n,bytetrack,
231,12.381,50.0,0.9,0.0,51.9,11,11,18.7,yolov8n,bytetrack,
232,12.432,49.3,0.9,0.0,51.1,10,10,18.7,yolov8n,bytetrack,
233,12.493,58.2,1.0,0.0,59.9,11,11,18.7,yolov8n,bytetrack,
234,12.547,52.4,0.9,0.0,54.0,11,11,18.7,yolov8n,bytetrack,
235,12.600,51.1,1.0,0.0,52.8,11,11,18.7,yolov8n,bytetrack,
236,12.653,50.3,0.9,0.0,52.1,11,11,18.7,yolov8n,bytetrack,
237,12.704,49.6,0.9,0.0,51.3,11,11,18.7,yolov8n,bytetrack,
238,12.756,50.0,0.9,0.0,51.5,9,9,18.7,yolov8n,bytetrack,
239,12.808,50.6,0.9,0.0,52.2,10,9,18.7,yolov8n,bytetrack,
240,12.862,51.9,1.0,0.0,53.6,10,9,18.7,yolov8n,bytetrack,
241,12.915,50.5,0.8,0.0,52.1,9,8,18.7,yolov8n,bytetrack,
242,12.965,49.0,0.8,0.0,50.5,9,8,18.7,yolov8n,bytetrack,
243,13.019,51.3,0.8,0.0,52.9,9,8,18.7,yolov8n,bytetrack,
244,13.076,55.3,0.9,0.0,56.9,9,8,18.7,yolov8n,bytetrack,
245,13.126,48.4,0.9,0.0,50.0,10,9,18.7,yolov8n,bytetrack,
246,13.178,49.7,1.0,0.0,51.4,9,8,18.7,yolov8n,bytetrack,
247,13.229,49.5,0.9,0.0,51.2,9,8,18.7,yolov8n,bytetrack,
248,13.281,50.5,0.8,0.0,51.9,8,7,18.7,yolov8n,bytetrack,
249,13.334,51.1,0.8,0.0,52.6,9,8,18.7,yolov8n,bytetrack,
250,13.387,50.3,0.9,0.0,51.8,9,9,18.7,yolov8n,bytetrack,
251,13.440,51.5,0.8,0.0,53.2,9,9,18.7,yolov8n,bytetrack,
252,13.495,53.2,0.9,0.0,55.0,9,9,18.7,yolov8n,bytetrack,
253,13.548,50.8,0.8,0.0,52.3,11,10,18.7,yolov8n,bytetrack,
254,13.600,50.6,0.8,0.0,52.1,10,10,18.7,yolov8n,bytetrack,
255,13.653,50.5,0.9,0.0,52.3,12,11,18.7,yolov8n,bytetrack,
256,13.712,57.3,1.2,0.0,59.3,12,11,18.7,yolov8n,bytetrack,
257,13.764,49.6,0.9,0.0,51.4,12,11,18.7,yolov8n,bytetrack,
258,13.815,49.1,1.0,0.0,50.8,12,11,18.7,yolov8n,bytetrack,
259,13.866,49.1,0.9,0.0,51.0,11,11,18.7,yolov8n,bytetrack,
260,13.921,53.4,0.9,0.0,55.0,11,11,18.7,yolov8n,bytetrack,
261,13.972,48.7,0.9,0.0,50.3,11,11,18.7,yolov8n,bytetrack,
262,14.023,49.5,0.9,0.0,51.1,12,11,18.7,yolov8n,bytetrack,
263,14.074,48.4,0.9,0.0,50.1,11,11,18.7,yolov8n,bytetrack,
264,14.126,50.4,0.9,0.0,52.1,12,11,18.7,yolov8n,bytetrack,
265,14.176,48.4,1.0,0.0,50.2,13,11,18.7,yolov8n,bytetrack,
266,14.229,50.3,1.0,0.0,52.0,12,10,18.7,yolov8n,bytetrack,
267,14.280,49.7,1.0,0.0,51.4,13,10,18.7,yolov8n,bytetrack,
268,14.332,49.9,0.9,0.0,51.8,13,11,18.7,yolov8n,bytetrack,
269,14.383,48.6,0.9,0.0,50.2,12,10,18.7,yolov8n,bytetrack,
270,14.435,49.4,1.0,0.0,51.3,13,11,18.7,yolov8n,bytetrack,
271,14.487,50.1,1.1,0.0,52.0,14,12,18.7,yolov8n,bytetrack,
272,14.538,47.8,1.1,0.0,49.9,15,13,18.7,yolov8n,bytetrack,
273,14.588,48.0,1.1,0.0,49.9,13,12,18.7,yolov8n,bytetrack,
274,14.639,49.4,1.0,0.0,51.2,13,12,18.7,yolov8n,bytetrack,
275,14.690,49.1,0.9,0.0,50.7,11,9,18.7,yolov8n,bytetrack,
276,14.741,49.0,0.9,0.0,50.6,10,8,18.7,yolov8n,bytetrack,
277,14.792,49.5,0.9,0.0,51.1,9,9,18.7,yolov8n,bytetrack,
278,14.844,50.1,0.9,0.0,51.8,10,9,18.7,yolov8n,bytetrack,
279,14.896,49.9,0.9,0.0,51.6,12,9,18.7,yolov8n,bytetrack,
280,14.947,49.0,0.9,0.0,50.5,11,9,18.7,yolov8n,bytetrack,
281,14.998,49.4,0.9,0.0,51.0,10,10,18.7,yolov8n,bytetrack,
282,15.050,49.7,0.9,0.0,51.2,9,8,18.7,yolov8n,bytetrack,
283,15.101,49.4,0.8,0.0,50.9,7,7,18.7,yolov8n,bytetrack,
284,15.152,49.5,0.8,0.0,51.1,8,7,18.7,yolov8n,bytetrack,
285,15.204,50.2,0.8,0.0,51.7,7,6,18.7,yolov8n,bytetrack,
286,15.255,49.7,0.7,0.0,51.1,7,6,18.7,yolov8n,bytetrack,
287,15.307,49.5,0.7,0.0,50.9,7,6,18.8,yolov8n,bytetrack,
288,15.358,49.7,0.8,0.0,51.1,9,6,18.8,yolov8n,bytetrack,
289,15.409,49.1,0.8,0.0,50.5,9,8,18.8,yolov8n,bytetrack,
290,15.459,48.1,1.0,0.0,49.9,9,9,18.8,yolov8n,bytetrack,
291,15.512,51.4,1.0,0.0,53.1,9,9,18.8,yolov8n,bytetrack,
292,15.564,49.9,0.9,0.0,51.5,9,9,18.8,yolov8n,bytetrack,
293,15.614,48.0,0.9,0.0,49.6,9,9,18.8,yolov8n,bytetrack,
294,15.664,48.6,0.9,0.0,50.3,9,9,18.8,yolov8n,bytetrack,
295,15.717,50.0,0.8,0.0,52.5,8,8,18.8,yolov8n,bytetrack,
296,15.767,48.6,0.8,0.0,50.0,7,7,18.8,yolov8n,bytetrack,
297,15.818,49.1,0.8,0.0,50.5,7,7,18.8,yolov8n,bytetrack,
298,15.870,50.2,0.9,0.0,51.8,9,7,18.8,yolov8n,bytetrack,
299,15.921,49.4,0.8,0.0,51.1,8,7,18.8,yolov8n,bytetrack,
300,15.973,49.3,0.8,0.0,50.8,7,6,18.8,yolov8n,bytetrack,
301,16.024,50.1,0.7,0.0,51.6,8,6,18.8,yolov8n,bytetrack,
302,16.076,49.7,0.7,0.0,51.0,6,6,18.8,yolov8n,bytetrack,
