# System Information
# OS,Darwin,Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:23 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n-pose.pt,Size,5.97 MB
# Model Task,pose,Version,unknown
# Tracker,deepsort
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/videos/WIN_20250319_10_03_53_Pro.mp4
# Resolution,1920x1080,FPS,28,Total Frames,1369

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
126,36.559,59.0,177.8,236.8,1,1,3.4,1.6,56.2,0.3,No,yolo11n-pose,deepsort,
127,36.932,112.5,234.9,347.4,1,1,3.4,15.5,92.9,3.4,No,yolo11n-pose,deepsort,
128,37.308,129.1,222.2,351.3,1,1,3.4,29.2,99.1,0.3,No,yolo11n-pose,deepsort,
129,37.698,121.0,244.1,365.2,1,1,3.4,28.7,91.5,0.4,No,yolo11n-pose,deepsort,
130,38.100,103.8,273.0,376.8,1,1,3.4,15.6,87.4,0.4,No,yolo11n-pose,deepsort,
131,38.466,76.8,264.5,341.4,1,1,3.4,19.5,55.8,0.3,No,yolo11n-pose,deepsort,
132,38.749,81.7,176.1,257.8,1,1,3.4,22.8,57.7,0.4,No,yolo11n-pose,deepsort,
133,38.984,54.5,155.8,210.2,1,1,3.4,1.2,52.4,0.4,No,yolo11n-pose,deepsort,
134,39.210,52.1,148.8,200.9,1,1,3.4,1.3,50.0,0.3,No,yolo11n-pose,deepsort,
135,39.453,55.5,149.1,204.6,1,1,3.4,1.4,52.7,0.7,No,yolo11n-pose,deepsort,
136,39.692,56.9,155.1,212.0,1,1,3.4,1.6,54.6,0.3,No,yolo11n-pose,deepsort,
137,40.046,55.1,273.3,328.4,2,1,3.4,1.4,52.7,0.3,No,yolo11n-pose,deepsort,
138,40.351,129.9,149.1,279.1,1,1,3.4,9.9,119.0,0.3,No,yolo11n-pose,deepsort,
139,40.827,173.4,276.6,450.1,1,1,3.4,1.1,171.3,0.3,No,yolo11n-pose,deepsort,
140,41.250,217.4,180.7,398.1,1,1,3.4,40.1,176.2,0.5,No,yolo11n-pose,deepsort,
141,41.466,50.1,140.1,190.1,1,1,3.4,7.3,41.8,0.4,No,yolo11n-pose,deepsort,
142,41.821,172.8,157.5,330.3,1,1,3.4,1.8,169.9,0.4,No,yolo11n-pose,deepsort,
143,42.255,104.9,301.5,406.4,2,1,3.4,14.9,89.1,0.4,No,yolo11n-pose,deepsort,
144,42.476,48.5,148.3,196.8,1,1,3.4,3.2,44.2,0.3,No,yolo11n-pose,deepsort,
145,42.690,45.3,143.2,188.5,1,1,3.4,1.2,42.9,0.5,No,yolo11n-pose,deepsort,
