# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Memory_MB,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

83,4.529,51.1,1.0,0.0,53.1,12,12,18.3,724.8,yolov8n,bytetrack,
84,4.584,52.5,1.0,0.0,54.8,13,12,18.3,724.8,yolov8n,bytetrack,
85,4.637,50.4,1.1,0.0,52.6,12,12,18.3,724.8,yolov8n,bytetrack,
86,4.689,49.5,1.2,0.0,51.6,13,12,18.3,724.8,yolov8n,bytetrack,
87,4.741,49.7,0.9,0.0,51.6,13,12,18.4,724.8,yolov8n,bytetrack,
88,4.794,50.7,1.0,0.0,52.8,14,12,18.4,724.8,yolov8n,bytetrack,
89,4.847,50.2,1.0,0.0,52.1,13,12,18.4,724.8,yolov8n,bytetrack,
90,4.900,51.3,1.1,0.0,53.3,12,11,18.4,724.8,yolov8n,bytetrack,
91,4.954,51.8,1.1,0.0,53.8,12,12,18.4,724.8,yolov8n,bytetrack,
92,5.007,50.4,1.0,0.0,52.4,12,12,18.4,724.8,yolov8n,bytetrack,
93,5.060,50.9,1.0,0.0,52.9,12,12,18.4,724.8,yolov8n,bytetrack,
94,5.113,50.7,1.0,0.0,52.8,13,12,18.4,724.8,yolov8n,bytetrack,
95,5.165,49.8,1.0,0.0,51.8,12,12,18.4,724.8,yolov8n,bytetrack,
96,5.219,51.2,1.1,0.0,53.5,15,12,18.4,724.8,yolov8n,bytetrack,
97,5.273,51.4,1.0,0.0,53.4,13,10,18.4,724.8,yolov8n,bytetrack,
98,5.326,51.0,1.0,0.0,53.0,12,10,18.4,724.8,yolov8n,bytetrack,
99,5.379,50.5,1.0,0.0,52.5,12,10,18.4,724.8,yolov8n,bytetrack,
100,5.433,51.8,1.0,0.0,53.9,12,10,18.4,724.8,yolov8n,bytetrack,
101,5.485,50.3,0.9,0.0,52.1,12,10,18.4,724.8,yolov8n,bytetrack,
102,5.542,53.9,1.0,0.0,56.1,13,10,18.4,724.8,yolov8n,bytetrack,
103,5.595,51.6,0.9,0.0,53.6,11,10,18.4,724.8,yolov8n,bytetrack,
104,5.649,51.3,1.0,0.0,53.2,11,10,18.4,724.8,yolov8n,bytetrack,
105,5.701,49.7,1.0,0.0,51.7,11,11,18.4,724.8,yolov8n,bytetrack,
106,5.754,50.7,1.1,0.0,52.9,11,11,18.4,724.8,yolov8n,bytetrack,
107,5.805,48.5,1.0,0.0,50.4,11,11,18.4,724.8,yolov8n,bytetrack,
108,5.858,50.7,0.9,0.0,52.7,12,11,18.4,724.8,yolov8n,bytetrack,
109,5.910,50.3,0.9,0.0,52.2,11,11,18.4,724.8,yolov8n,bytetrack,
110,5.962,49.5,0.9,0.0,51.2,10,10,18.5,724.8,yolov8n,bytetrack,
111,6.015,51.3,0.9,0.0,53.0,10,9,18.5,724.8,yolov8n,bytetrack,
112,6.067,49.5,0.9,0.0,51.4,10,9,18.5,724.8,yolov8n,bytetrack,3 notifications
113,6.120,51.0,0.9,0.0,52.9,11,10,18.5,724.8,yolov8n,bytetrack,
114,6.174,51.3,0.9,0.0,53.4,11,10,18.5,724.8,yolov8n,bytetrack,
115,6.226,49.6,1.0,0.0,51.5,12,11,18.5,724.8,yolov8n,bytetrack,
116,6.280,52.0,1.0,0.0,53.9,12,11,18.5,724.8,yolov8n,bytetrack,
117,6.334,51.3,1.0,0.0,53.4,13,12,18.5,724.8,yolov8n,bytetrack,
118,6.385,49.3,1.0,0.0,51.3,13,12,18.5,724.8,yolov8n,bytetrack,
119,6.439,51.6,1.0,0.0,53.6,14,12,18.5,724.8,yolov8n,bytetrack,
120,6.492,50.9,1.0,0.0,52.9,13,12,18.5,724.8,yolov8n,bytetrack,
121,6.546,51.1,1.0,0.0,53.2,13,11,18.5,724.8,yolov8n,bytetrack,
122,6.598,49.7,1.0,0.0,51.7,15,11,18.5,724.9,yolov8n,bytetrack,
