frame_number,timestamp,left_hand_raised,right_hand_raised
770,32.096,False,False
771,32.138,False,False
772,32.179,False,False
773,32.221,False,False
774,32.263,False,False
775,32.304,False,False
776,32.346,False,False
777,32.388,False,False
778,32.429,False,False
779,32.471,False,False
780,32.513,False,False
781,32.555,False,False
782,32.596,False,False
783,32.638,False,False
784,32.680,False,False
785,32.721,False,False
786,32.763,False,False
787,32.805,False,False
788,32.846,False,False
789,32.888,False,False
790,32.930,False,False
791,32.971,False,False
792,33.013,False,False
793,33.055,False,False
794,33.096,False,False
795,33.138,False,False
796,33.180,False,False
797,33.221,False,False
798,33.263,False,False
799,33.305,False,False
800,33.347,False,False
801,33.388,False,False
802,33.430,False,False
803,33.472,False,False
804,33.513,False,False
805,33.555,False,False
806,33.597,False,False
807,33.638,False,False
808,33.680,False,False
809,33.722,False,False
